,carat,price,cut_Ideal,cut_Premium,color_E,clarity_I1,clarity_SI2,size
0,-1.1981678055010725,326,1,0,1,0,1,-3.832343630858061
1,-1.240361288524541,326,0,1,1,0,0,-4.7405021096061
2,-1.1981678055010725,327,0,0,1,0,0,-3.803048034049643
3,-1.0715873564306673,334,0,1,0,0,0,-2.315427856176429
4,-1.0293938734071988,335,0,0,0,0,1,-1.6802846786481203
5,-1.1770710639893383,336,0,0,0,0,0,-3.722013509286714
6,-1.1770710639893383,336,0,0,0,0,0,-3.69408343870155
7,-1.1348775809658698,337,0,0,0,0,0,-3.010849643588038
8,-1.2192645470128067,337,0,0,1,0,0,-4.219537702107383
9,-1.1981678055010725,338,0,0,0,0,0,-3.705174972024679
10,-1.050490614918933,339,0,0,0,0,0,-1.9270959087144997
11,-1.1981678055010725,340,1,0,0,0,0,-3.942438014673566
12,-1.2192645470128067,342,0,1,0,0,0,-4.688669658399679
13,-1.0293938734071988,344,1,0,0,0,1,-1.727488125872674
14,-1.261458030036275,345,0,1,1,0,1,-5.405839029674868
15,-1.0082971318954645,345,0,1,1,1,0,-1.6869752434658054
16,-1.050490614918933,348,1,0,0,0,1,-1.882358698244224
17,-1.050490614918933,351,0,0,0,0,0,-2.01164236951644
18,-1.050490614918933,351,0,0,0,0,0,-2.0289378921812884
19,-1.050490614918933,351,0,0,0,0,0,-2.165227869531448
20,-1.050490614918933,351,0,0,0,0,1,-1.9344506282053366
21,-1.1981678055010725,352,0,0,1,0,0,-3.9971473635408548
22,-1.1981678055010725,353,0,0,0,0,0,-3.9681008175383417
23,-1.0293938734071988,353,0,0,0,0,0,-1.7778585779314007
24,-1.0293938734071988,353,0,0,0,0,0,-1.7132721307980383
25,-1.1981678055010725,354,0,0,0,0,0,-3.7917046086346056
26,-1.1770710639893383,355,0,1,0,0,0,-3.73587657297248
27,-1.050490614918933,357,0,0,0,0,0,-2.000251924673806
28,-1.1981678055010725,357,0,0,0,0,0,-3.936248245244626
29,-1.1981678055010725,357,0,0,0,0,0,-3.8232827037928967
30,-1.1981678055010725,402,0,0,0,0,0,-3.6838909329184886
31,-1.1981678055010725,402,0,0,0,0,0,-3.5041099957686255
32,-1.1981678055010725,402,0,0,1,0,0,-3.758112058454714
33,-1.1981678055010725,402,0,0,1,0,0,-3.6300260500017827
34,-1.1981678055010725,402,0,0,0,0,0,-3.9057648763149255
35,-1.1981678055010725,402,0,0,0,0,0,-3.5742226438914773
36,-1.1981678055010725,402,0,0,1,0,0,-4.2747384394585435
37,-1.0293938734071988,402,0,0,0,0,0,-1.7909657481584969
38,-1.1348775809658698,403,0,0,0,0,0,-2.840662382689305
39,-0.9872003903837303,403,1,0,0,0,1,-1.275437914158084
40,-0.9872003903837303,403,1,0,0,0,1,-1.3366957721514585
41,-0.9872003903837303,403,1,0,0,0,0,-1.2662967823880116
42,-1.1348775809658698,403,0,0,0,0,0,-3.066538384273292
43,-1.1348775809658698,403,0,0,0,0,0,-2.7481459674958573
44,-1.0082971318954645,403,0,0,0,0,1,-1.6560123322487508
45,-1.0715873564306673,403,0,1,0,0,0,-2.1613378326017867
46,-1.0082971318954645,403,0,0,0,0,1,-1.6641881893694235
47,-1.0082971318954645,403,0,0,0,0,1,-1.5380736207439545
48,-1.155974322477604,404,0,0,1,0,0,-3.259605037964141
49,-1.0715873564306673,404,0,0,0,0,1,-1.9005305102657954
50,-1.1770710639893383,404,0,0,0,0,0,-3.5122897949253935
51,-1.1981678055010725,404,1,0,0,0,0,-3.906088514125995
52,-1.0082971318954645,404,1,0,0,0,0,-1.4554587413736715
53,-1.2192645470128067,404,0,1,1,0,0,-4.147658849405518
54,-1.2192645470128067,404,0,1,0,0,0,-4.590006125767697
55,-1.050490614918933,405,1,0,0,0,1,-2.0203606341281466
56,-1.050490614918933,405,0,1,0,0,1,-1.810437178749829
57,-1.050490614918933,405,0,0,0,0,0,-2.070067251855258
58,-1.050490614918933,405,0,0,0,0,0,-1.8815490295582935
59,-1.050490614918933,405,0,0,0,0,0,-1.9848411477148153
60,-0.9450069073602619,552,1,0,0,0,0,-1.144087559489124
61,-1.050490614918933,552,0,1,0,0,0,-2.136759702627281
62,-1.050490614918933,552,1,0,0,0,0,-1.9136780731027085
63,-1.050490614918933,552,1,0,0,0,0,-1.9091971293462717
64,-0.7973297167781225,552,0,1,0,0,1,-0.5446270358616175
65,-1.0926840979424013,553,1,0,0,0,0,-2.4751231149279382
66,-1.0082971318954645,553,1,0,0,0,0,-1.5769922222225092
67,-1.0293938734071988,553,0,0,0,0,0,-1.7979432242714932
68,-1.0293938734071988,553,0,1,0,0,0,-1.8556142385012504
69,-1.1770710639893383,553,0,1,1,0,0,-3.5652644581401156
70,-1.1770710639893383,553,0,0,0,0,0,-3.67854217459324
71,-1.050490614918933,554,0,0,0,0,0,-1.9579774234504834
72,-1.050490614918933,554,0,1,0,0,0,-2.059925844013333
73,-1.050490614918933,554,0,1,0,0,0,-2.055705872577488
74,-1.050490614918933,554,0,0,0,0,0,-1.9376918306651498
75,-1.1348775809658698,554,0,0,0,0,0,-2.707472371199035
76,-1.1348775809658698,554,0,0,1,0,0,-2.706779330802962
77,-1.1348775809658698,554,0,0,0,0,0,-2.8679717123161605
78,-1.1348775809658698,554,0,0,0,0,0,-3.234818555149355
79,-1.1348775809658698,554,0,0,1,0,0,-3.0054708831303634
80,-1.1348775809658698,554,0,0,1,0,0,-3.208035901238571
81,-1.1348775809658698,554,0,0,0,0,0,-3.064369699981281
82,-1.1348775809658698,554,1,0,1,0,0,-3.165240017821844
83,-0.8817166828250593,554,1,0,0,0,1,-0.851282055009122
84,-1.1348775809658698,554,0,0,1,0,0,-2.701433333199602
85,-1.1770710639893383,554,0,1,0,0,0,-3.891905168821258
86,-1.1770710639893383,554,0,1,0,0,0,-3.7116796601921616
87,-1.1770710639893383,554,0,1,0,0,0,-3.6069349086288476
88,-1.1770710639893383,554,0,1,0,0,0,-3.3585232042271427
89,-1.0082971318954645,554,0,1,0,0,0,-1.7352161503608619
90,-0.20662095444956474,2757,1,0,1,0,0,1.5651421603335312e-05
91,0.13092690973818266,2757,0,0,1,0,1,-0.008869461371519305
92,-0.20662095444956474,2757,1,0,0,0,0,-8.613070477832717e-05
93,-0.1855242129378305,2759,0,0,1,0,0,5.446061311101416e-06
94,-0.03784702235569092,2759,0,0,0,0,1,0.0018253172218571478
95,-0.20662095444956474,2759,0,0,1,0,0,-0.0034526072990273427
96,-0.20662095444956474,2759,0,0,0,0,0,8.270155504370413e-05
97,0.3418943248555247,2759,0,0,0,0,1,0.06822512780089081
98,-0.14333072991436205,2760,0,0,1,0,0,4.154697788497992e-05
99,0.004346460667777534,2760,0,1,0,0,0,0.006262045136807417
100,-0.1011372468908936,2760,0,0,0,0,0,0.0001310994195907765
101,-0.1011372468908936,2760,0,1,1,0,0,0.002766717193596022
102,-0.12223398840262782,2760,1,0,0,0,0,0.0004507640347237108
103,-0.1011372468908936,2760,0,1,0,0,0,0.0003738256477643126
104,0.004346460667777534,2760,1,0,0,0,0,0.005672409535378391
105,-0.1011372468908936,2760,1,0,0,0,0,0.0009176513052907807
106,0.004346460667777534,2760,0,1,0,0,0,0.002132049172114874
107,-0.12223398840262782,2761,1,0,0,0,0,0.00023108240254743182
108,0.02544320217951176,2761,1,0,0,0,1,0.010402374273829259
109,-0.438685111078641,2761,1,0,1,0,0,-0.022322902050101217
110,0.004346460667777534,2761,1,0,0,0,1,0.008820382060582041
111,-0.12223398840262782,2761,1,0,1,0,1,0.0006526633675818122
112,0.21531387578511957,2761,0,1,0,0,0,0.060568319055195705
113,-0.12223398840262782,2762,0,0,0,0,0,-5.608587582382011e-06
114,-0.14333072991436205,2762,1,0,0,0,0,1.4408374629443358e-05
115,-0.14333072991436205,2762,1,0,0,0,0,9.575192125167366e-05
116,0.004346460667777534,2762,0,1,0,0,1,0.007989056156448146
117,-0.1855242129378305,2762,1,0,0,0,0,-1.2972491992718312e-05
118,-0.20662095444956474,2762,1,0,1,0,0,1.5889708678792764e-06
119,0.004346460667777534,2762,1,0,0,0,1,0.008408209520963036
120,-0.1855242129378305,2762,1,0,0,0,1,1.2119690088109328e-06
121,-0.12223398840262782,2762,1,0,1,0,0,0.0005907843179895758
122,-0.20662095444956474,2762,0,0,0,0,0,-0.0008629710853724031
123,-0.20662095444956474,2762,0,0,0,0,0,0.001504416177447611
124,-0.20662095444956474,2762,0,0,0,0,0,0.0020965887263895222
125,-0.20662095444956474,2762,0,1,0,0,0,-0.001021431323011397
126,0.23641061729685378,2763,0,1,0,0,0,0.01507182324723861
127,-0.3964916280551725,2763,0,0,0,0,0,-0.006398638979007299
128,0.23641061729685378,2763,0,0,0,0,1,0.05827930867483966
129,0.23641061729685378,2763,0,0,0,0,1,0.03472863549328348
130,-0.05894376386742515,2763,1,0,0,0,0,0.002232344015092793
131,-0.1855242129378305,2764,0,0,0,0,0,0.00033681430160705596
132,-0.1855242129378305,2764,1,0,0,0,0,-5.7752116970775465e-06
133,-0.20662095444956474,2765,0,0,1,0,0,-9.076219817489e-05
134,-0.05894376386742515,2765,0,0,0,0,0,0.0019414067255081537
135,-0.3542981450317041,2765,0,1,1,0,0,-0.007271776546848231
136,-0.1855242129378305,2765,0,0,0,0,0,-2.7317197935796184e-05
137,-0.1855242129378305,2765,0,1,0,0,0,-1.7994236744060881e-06
138,-0.08004050537915937,2765,1,0,0,0,0,0.002058730667323062
139,-0.33320140351996985,2766,1,0,0,0,0,-0.004222165209407283
140,-0.1855242129378305,2766,0,1,0,0,0,-2.401995341556559e-05
141,-0.1855242129378305,2766,0,1,0,0,0,-0.0005136060205402684
142,-0.20662095444956474,2767,0,0,0,0,0,-1.5397564880005993e-05
143,-0.20662095444956474,2767,0,0,0,0,0,-0.00039955772073180755
144,-0.1855242129378305,2767,1,0,0,0,1,3.1548013529475304e-07
145,-0.20662095444956474,2767,0,0,0,0,0,-0.00040252485809125606
146,-0.1855242129378305,2768,0,0,0,0,0,-0.0005448366182143974
147,-0.14333072991436205,2768,0,0,0,0,0,-0.0002774607633517026
148,-0.20662095444956474,2768,0,0,0,0,0,-2.0921469442059077e-05
149,-0.20662095444956474,2768,1,0,1,0,0,1.2629196310952901e-06
150,-0.1855242129378305,2768,0,1,0,0,1,-4.33871098632932e-05
151,-0.12223398840262782,2769,1,0,0,0,0,0.00038550196610274745
152,-0.1855242129378305,2770,0,1,0,0,0,-0.00020940521242896628
153,-0.14333072991436205,2770,0,1,0,0,0,5.922544811477268e-05
154,-0.08004050537915937,2770,0,0,0,0,0,0.0005465492799746254
155,-0.08004050537915937,2770,1,0,0,0,1,0.00041915143305802026
156,-0.1855242129378305,2770,1,0,0,0,0,-8.082531799816586e-05
157,-0.14333072991436205,2770,0,1,0,0,0,0.0001478805282676125
158,-0.14333072991436205,2770,0,1,0,0,0,1.1346202075982318e-05
159,-0.14333072991436205,2770,1,0,0,0,1,4.1119060035147274e-05
160,-0.14333072991436205,2770,0,1,0,0,0,-0.0013789918524958306
161,-0.1644274714260963,2771,0,0,0,0,0,-0.0002392297293554846
162,-0.14333072991436205,2771,0,0,0,0,0,0.00022956058533430754
163,-0.1855242129378305,2771,1,0,0,0,0,-9.655816179543237e-07
164,-0.016750280843956692,2771,1,0,0,0,1,0.006921635425405236
165,-0.14333072991436205,2772,0,0,0,0,0,2.1522254476377902e-05
166,0.004346460667777534,2772,0,0,0,0,1,0.011962084166680991
167,-0.45978185259037524,2772,1,0,0,0,0,-0.023197756054427802
168,-0.45978185259037524,2772,1,0,0,0,0,-0.038612866685532356
169,-0.1855242129378305,2772,0,0,1,0,0,-0.000872127888362338
170,-0.1011372468908936,2773,1,0,0,0,1,0.0012520651959866238
171,-0.20662095444956474,2773,0,1,0,0,0,-0.0011084889901433173
172,0.784925896601943,2774,0,0,0,1,0,0.8375222464054388
173,-0.41758836956690676,2774,1,0,1,0,0,-0.01974540288172477
174,-0.20662095444956474,2774,1,0,1,0,0,-1.2781595488888265e-05
175,0.06763668520297998,2774,0,0,0,0,0,0.004804714333341926
176,-0.12223398840262782,2775,0,0,0,0,0,0.00025110454418312205
177,-0.1644274714260963,2776,0,0,0,0,0,0.00039013034685211493
178,-0.1855242129378305,2776,0,1,1,0,0,-2.2007075199274858e-05
179,-0.1855242129378305,2776,1,0,1,0,0,-8.397510837869268e-05
180,-0.5441688186373119,2776,1,0,1,0,0,-0.07385100841745493
181,-0.5441688186373119,2776,1,0,1,0,0,-0.07958656464182126
182,-0.1644274714260963,2776,1,0,0,0,0,-2.1513592818378226e-06
183,-0.1644274714260963,2776,1,0,0,0,0,-4.858528763690953e-05
184,-0.1644274714260963,2776,0,0,0,0,0,-0.0005520131026142509
185,-0.1855242129378305,2776,1,0,0,0,0,-7.513137615699394e-05
186,-0.20662095444956474,2777,0,0,0,0,0,1.113729308229922e-05
187,-0.1855242129378305,2777,0,1,0,0,0,-2.0397204502864717e-05
188,-0.1855242129378305,2777,0,0,0,0,0,9.54706160798983e-05
189,-0.1855242129378305,2777,0,0,0,0,0,0.0006493917519412924
190,-0.1855242129378305,2777,0,0,0,0,0,-0.003525417359617066
191,-0.20662095444956474,2777,1,0,1,0,0,-1.942094243099192e-05
192,-0.20662095444956474,2777,0,1,1,0,0,-0.00015203894111987
193,-0.20662095444956474,2777,0,1,1,0,0,-7.929271942815678e-05
194,-0.20662095444956474,2777,0,1,1,0,0,-3.401114854880655e-06
195,-0.20662095444956474,2777,0,1,1,0,0,8.952754913327672e-06
196,-0.20662095444956474,2777,0,1,1,0,0,-4.099011668028854e-06
197,-0.20662095444956474,2777,0,1,1,0,0,2.2548257514584975e-05
198,-0.20662095444956474,2777,1,0,1,0,0,2.063400013540115e-05
199,-0.1644274714260963,2777,0,1,0,0,0,-5.125232303753026e-05
200,-0.20662095444956474,2777,0,0,1,0,0,0.00011976296308178164
201,-0.20662095444956474,2777,0,1,1,0,0,-6.218231808217356e-05
202,-0.20662095444956474,2777,0,1,1,0,0,-1.3812803480963384e-05
203,-0.20662095444956474,2777,0,0,1,0,0,0.000892756646413848
204,0.38408780787899316,2777,0,0,0,0,1,0.04494751462802159
205,-0.03784702235569092,2777,0,1,0,0,0,0.0006532799780833449
206,-0.20662095444956474,2777,0,0,1,0,0,-0.000935893815504718
207,-0.5863623016607803,2778,1,0,0,0,0,-0.10739890828544671
208,-0.14333072991436205,2779,0,0,0,0,0,0.0001167672873817346
209,-0.12223398840262782,2779,1,0,1,0,0,0.0004040873532217888
210,-0.20662095444956474,2780,0,0,0,0,0,0.0004674220292038878
211,-0.05894376386742515,2780,0,1,0,0,0,0.0029665850165416538
212,-0.1855242129378305,2780,1,0,0,0,0,1.040726057698463e-06
213,-0.12223398840262782,2780,1,0,0,0,0,0.0005609476074584682
214,-0.20662095444956474,2780,1,0,0,0,0,-2.2238548556837422e-05
215,0.4473780324141958,2781,0,1,0,1,0,0.182893725340484
216,-0.05894376386742515,2781,1,0,0,0,0,0.0016105352111526728
217,-0.03784702235569092,2781,1,0,0,0,0,0.005403646243485312
218,-0.1644274714260963,2782,0,0,0,0,0,-8.002224917887529e-05
219,-0.5652655601490462,2782,0,0,0,0,0,-0.07234618454901719
220,-0.08004050537915937,2782,1,0,0,0,0,0.003502068789599256
221,-0.20662095444956474,2782,0,0,1,0,0,-0.0007075841695438102
222,-0.20662095444956474,2782,0,1,1,0,0,-0.0006871998406297581
223,-0.1011372468908936,2782,0,0,0,0,1,-2.2314946161601318e-05
224,-0.1644274714260963,2782,1,0,0,0,0,-1.912080094660678e-05
225,-0.1644274714260963,2782,0,1,0,0,0,2.351775622624238e-06
226,-0.20662095444956474,2782,0,1,0,0,0,8.967675110120657e-05
227,0.08873342671471421,2782,0,0,0,0,0,-0.02331431167058816
228,-0.1011372468908936,2782,0,1,0,0,0,0.0011646847514914021
229,-0.5863623016607803,2783,1,0,0,0,0,-0.11919123387235905
230,-0.1644274714260963,2784,0,0,0,0,0,1.2622703071130439e-05
231,-0.016750280843956692,2784,0,0,0,0,0,0.005150639526157185
232,-0.1644274714260963,2787,0,0,0,0,0,0.00024974167001256224
233,-0.6074590431725145,2787,1,0,0,0,0,-0.14406308726029937
234,-0.33320140351996985,2787,1,0,0,0,0,-0.005022451805606375
235,-0.20662095444956474,2788,0,0,0,0,0,-2.0378067479902034e-05
236,0.06763668520297998,2788,0,0,0,0,0,0.024828288524559372
237,-0.08004050537915937,2788,1,0,0,0,0,0.001447151884281803
238,-0.1855242129378305,2788,0,0,0,0,0,0.00022686324142801015
239,-0.05894376386742515,2788,0,0,0,0,0,-0.00042792982177043524
240,-0.1855242129378305,2788,1,0,0,0,0,2.228445028347907e-05
241,0.4473780324141958,2788,0,0,1,1,0,0.1443804809079734
242,0.4473780324141958,2788,0,1,0,0,1,0.12161135117527122
243,-0.05894376386742515,2789,0,0,0,0,0,0.0005607440664711663
244,-0.08004050537915937,2789,0,0,1,0,0,0.0005940734551057526
245,-0.08004050537915937,2789,0,1,1,0,0,0.001771035214982692
246,-0.08004050537915937,2789,0,1,1,0,0,0.0008786884719214829
247,0.5317649984611327,2789,0,0,0,0,1,0.33104130952356664
248,0.02544320217951176,2789,1,0,0,0,1,0.011008037300566582
249,-0.20662095444956474,2789,1,0,1,0,0,1.667772515507438e-06
250,-0.5230720771255777,2789,1,0,0,0,0,-0.06911094499222138
251,0.02544320217951176,2789,0,0,0,0,1,0.005975936696576861
252,-0.3542981450317041,2789,0,1,1,0,0,-0.014309997471524375
253,-0.3542981450317041,2789,0,1,1,0,0,-0.007252915478609746
254,-0.05894376386742515,2789,0,1,0,0,0,0.001936095964833865
255,0.5317649984611327,2789,0,0,0,0,1,0.25782267624822713
256,-0.33320140351996985,2790,1,0,0,0,0,-0.004205907843753177
257,-0.08004050537915937,2790,0,1,0,0,0,-0.001755590460456834
258,0.06763668520297998,2790,1,0,0,0,1,0.022300540923373517
259,-0.1855242129378305,2790,0,1,0,0,0,-1.8516333166031175e-05
260,-0.1855242129378305,2790,0,1,0,0,0,-4.977409119090372e-07
261,0.15202365124991687,2791,0,0,0,0,0,0.045373998823941594
262,-0.14333072991436205,2791,1,0,1,0,0,1.8353658132773853e-05
263,-0.1855242129378305,2792,0,1,1,0,0,-0.0010800281984340695
264,-0.1855242129378305,2792,0,1,1,0,0,-6.752231491395306e-07
265,-0.1855242129378305,2792,1,0,1,0,0,8.20100127640983e-06
266,-0.20662095444956474,2792,0,1,0,0,0,-1.7275307764600517e-05
267,-0.20662095444956474,2792,0,1,0,0,0,-3.23794365256731e-05
268,-0.08004050537915937,2792,0,1,0,0,0,-0.0007131701906736421
269,-0.20662095444956474,2792,1,0,0,0,0,7.862660240084124e-07
270,-0.016750280843956692,2793,0,0,0,0,0,0.009967353832941004
271,-0.20662095444956474,2793,0,0,1,0,0,0.00010956773405379246
272,-0.20662095444956474,2793,0,0,1,0,0,0.0007704750376041652
273,-0.08004050537915937,2793,1,0,0,0,0,0.0019204148852104055
274,-0.14333072991436205,2793,1,0,0,0,0,-1.9259712605389393e-05
275,-0.016750280843956692,2794,0,0,1,0,0,0.004499013832706269
276,-0.1855242129378305,2795,0,0,1,0,0,-6.509887887021806e-05
277,0.02544320217951176,2795,0,1,0,0,0,0.0025134199190377333
278,0.02544320217951176,2795,1,0,0,0,1,0.00853667912091388
279,-0.1644274714260963,2795,0,0,0,0,0,8.3444356130633e-06
280,-0.1644274714260963,2795,0,1,0,0,1,7.216239499762786e-08
281,-0.1644274714260963,2795,0,1,0,0,0,2.610343037574151e-05
282,0.02544320217951176,2795,0,1,0,0,0,0.006001744034446216
283,-0.1644274714260963,2795,0,1,0,0,0,4.464498985939055e-06
284,0.4262812909024616,2795,0,1,0,0,1,0.23088013755768777
285,-0.14333072991436205,2796,0,0,1,0,0,-7.13414092335521e-05
286,0.02544320217951176,2797,0,0,0,0,1,0.007716407064915803
287,0.02544320217951176,2797,0,0,1,0,0,0.017979718424765256
288,-0.1855242129378305,2797,0,1,0,0,0,5.187093986497519e-05
289,-0.1855242129378305,2797,0,1,0,0,0,3.710369609068807e-07
290,-0.1855242129378305,2797,0,1,0,0,0,8.158361734877421e-06
291,-0.4808785941021094,2797,1,0,0,0,0,-0.03805243201380361
292,-0.6074590431725145,2797,1,0,0,0,0,-0.14320251042733642
293,-0.1644274714260963,2797,1,0,0,0,0,-2.1513592818378226e-06
294,-0.12223398840262782,2797,1,0,0,0,0,0.00013380669593151306
295,-0.12223398840262782,2797,1,0,0,0,0,0.00030758563888179185
296,-0.20662095444956474,2797,0,0,0,0,0,-0.0014247305253867703
297,0.004346460667777534,2797,0,1,0,0,1,0.01195230220446505
298,0.4473780324141958,2797,0,0,1,0,1,0.09466419103584268
299,0.004346460667777534,2797,0,0,0,0,0,0.0032361352127228283
300,-0.05894376386742515,2798,1,0,0,0,0,0.0021898854476522047
301,0.06763668520297998,2799,0,0,1,0,1,0.01864359078424822
302,0.046539943691245755,2799,1,0,0,0,1,0.015178357218094555
303,-0.03784702235569092,2799,1,0,0,0,0,0.0025134199190377333
304,-0.41758836956690676,2800,0,0,0,0,0,-0.017258435602586164
305,0.21531387578511957,2800,0,0,0,0,1,0.03535797560533121
306,-0.20662095444956474,2800,0,1,1,0,0,-0.0004187595265644482
307,0.21531387578511957,2800,0,0,0,0,1,0.06283306629594713
308,0.06763668520297998,2800,1,0,0,0,0,0.021884757002973102
309,0.06763668520297998,2800,1,0,0,0,0,0.02231761150505851
310,0.06763668520297998,2800,0,0,0,0,0,0.013907365757377553
311,-0.12223398840262782,2800,0,1,0,0,0,-2.7340026527945794e-05
312,-0.016750280843956692,2800,1,0,0,0,0,0.005907768492361344
313,-0.3964916280551725,2800,1,0,0,0,0,-0.01409612951438056
314,-0.08004050537915937,2800,0,0,0,0,0,-0.000905676049320128
315,0.3418943248555247,2801,1,0,0,1,0,0.16288124526640058
316,-0.14333072991436205,2801,1,0,0,0,0,0.0001382341085938343
317,-0.14333072991436205,2801,0,1,0,0,0,-5.646630437845029e-05
318,-0.1011372468908936,2801,1,0,0,0,0,0.002542218217722457
319,-0.1855242129378305,2801,0,1,0,0,0,-1.942094243099192e-05
320,-0.1855242129378305,2801,0,0,0,0,0,-0.003509909692534821
321,-0.1855242129378305,2801,0,0,0,0,0,0.0006436612117006861
322,-0.1855242129378305,2801,0,1,0,0,0,9.150871760595347e-05
323,0.5106682569493985,2801,0,1,0,1,0,0.25117088376464763
324,0.4262812909024616,2801,0,1,0,0,1,0.21242481528603666
325,0.15202365124991687,2802,0,0,0,0,1,0.045580261894627834
326,-0.5652655601490462,2802,1,0,0,0,0,-0.0818334732363907
327,-0.1644274714260963,2802,0,1,1,0,0,-0.00041548901829029664
328,-0.1644274714260963,2802,0,1,0,0,0,-0.0002312527455430146
329,-0.20662095444956474,2803,0,0,0,0,0,0.00010654678345611024
330,-0.12223398840262782,2803,0,0,1,0,0,6.579517161243229e-05
331,-0.1855242129378305,2803,1,0,0,0,0,1.4687197724521201e-05
332,-0.14333072991436205,2803,1,0,1,0,0,0.00021086813916662849
333,-0.20662095444956474,2803,0,0,0,0,0,0.002497044234413025
334,-0.1855242129378305,2803,0,1,0,0,0,4.728881991634432e-05
335,-0.1855242129378305,2803,0,1,0,0,0,-0.0015747620063088971
336,-0.1855242129378305,2803,0,1,0,0,0,3.688362059935475e-06
337,-0.05894376386742515,2803,0,1,0,0,0,0.00260004307368763
338,-0.1855242129378305,2803,0,1,0,0,0,-0.00021262680914772156
339,-0.03784702235569092,2803,0,1,0,0,0,0.00721236115309448
340,-0.1855242129378305,2803,0,0,0,0,0,0.0003813962514094559
341,0.23641061729685378,2803,1,0,0,0,1,0.06849264812386667
342,-0.1855242129378305,2804,0,0,1,0,0,0.0005613599246976884
343,-0.1855242129378305,2804,0,0,1,0,0,0.0003916583471319708
344,0.004346460667777534,2804,0,0,1,0,1,0.005986084992370131
345,-0.20662095444956474,2804,0,0,0,0,0,4.381487787966735e-06
346,-0.1644274714260963,2804,1,0,0,0,0,3.908889115727425e-06
347,-0.1644274714260963,2804,0,0,0,0,0,-1.5302286092949546e-05
348,0.046539943691245755,2804,1,0,0,0,0,0.019313760365773806
349,-0.20662095444956474,2804,1,0,0,0,0,-0.00013427584509593298
350,-0.1644274714260963,2804,1,0,0,0,0,1.4317584799568732e-05
351,-0.1644274714260963,2804,1,0,0,0,0,5.9819809197815584e-05
352,0.21531387578511957,2804,0,0,0,0,0,0.009772084166051914
353,-0.12223398840262782,2805,0,1,0,0,0,0.00030643816120592515
354,-0.12223398840262782,2805,0,1,0,0,0,0.00011146512022101463
355,-0.14333072991436205,2805,1,0,1,0,1,0.00013380669593151306
356,-0.4808785941021094,2805,0,0,1,0,0,-0.0498981919851964
357,-0.14333072991436205,2805,0,1,0,0,0,-2.9693451847525492e-05
358,-0.1644274714260963,2805,1,0,0,0,0,-1.731176507117632e-05
359,-0.12223398840262782,2805,0,0,0,0,0,-1.3280160335921906e-05
360,0.046539943691245755,2805,0,0,0,0,0,0.007834836535746053
361,0.02544320217951176,2806,0,0,0,0,0,0.00546061485849963
